0,0.18342,0,0.0039015,0.005255,0.0070765,0.16505,0.36308,0,0.0030686,0,0.30871,0,0,0.0024282,0.10539,0,0.10539,0.0082731,0.0070532,0.0070532,0.25539,0.40797,0,0.00052816,0.00052816,0.00052816,0,0.2937,0.0052813
0.51541,0.51935,0.53554,0.51127,0.52609,0.52655,0.592,0.63064,0.59971,0.52537,0.51734,0.51908,0.53943,0.56092,0.5721,0.5999,0.56897,0.56031,0.55343,0.53431,0.50947,0.53906,0.59257,0.50976,0.56306,0.48197,0.49933,0.55465,0.6029,0.59549
0.53808,0.50107,0.53714,0.49043,0.51916,0.55146,0.53899,0.53875,0.49793,0.51528,0.50298,0.4746,0.57751,0.56734,0.57276,0.56157,0.55825,0.52827,0.53341,0.50202,0.49695,0.54797,0.50466,0.50862,0.56487,0.58564,0.56733,0.51956,0.56106,0.57858
0.52412,0.56041,0.50903,0.5633,0.55578,0.50747,0.53241,0.53328,0.52035,0.54506,0.52747,0.5064,0.51082,0.52038,0.49153,0.44643,0.47372,0.45657,0.52679,0.49587,0.54643,0.47644,0.47993,0.52695,0.52351,0.54068,0.53039,0.56046,0.60841,0.50343
0.53246,0.50192,0.54874,0.53257,0.49999,0.48307,0.51452,0.53138,0.51803,0.48014,0.41086,0.48042,0.51809,0.51538,0.4376,0.45581,0.52802,0.4957,0.53482,0.51604,0.5178,0.52561,0.47894,0.50561,0.44308,0.45386,0.46232,0.54822,0.51786,0.52315
0.44076,0.45464,0.47907,0.48618,0.46314,0.45528,0.51355,0.55081,0.53466,0.52684,0.50678,0.53873,0.46818,0.49033,0.50835,0.51576,0.55383,0.54043,0.52792,0.50907,0.47573,0.46494,0.45515,0.46396,0.49774,0.48073,0.52025,0.51459,0.50799,0.48986
0.53974,0.49719,0.48152,0.50946,0.5501,0.52353,0.48346,0.51762,0.50005,0.48829,0.50987,0.51872,0.49437,0.47435,0.53326,0.53798,0.60705,0.53573,0.5204,0.45106,0.46424,0.47299,0.50339,0.4969,0.49976,0.51293,0.49344,0.55248,0.54965,0.51061
0.5171,0.49741,0.48805,0.5181,0.51699,0.58698,0.4869,0.45967,0.46836,0.52357,0.49477,0.46645,0.5348,0.51193,0.5471,0.477,0.48618,0.47238,0.53751,0.53402,0.50398,0.48522,0.53236,0.48947,0.49823,0.51708,0.51463,0.47773,0.48448,0.50491
0.48846,0.50764,0.51538,0.47509,0.4664,0.46672,0.47178,0.48262,0.51232,0.47243,0.51928,0.51185,0.53153,0.46013,0.48048,0.45102,0.47384,0.46026,0.50745,0.49542,0.48733,0.45886,0.45156,0.45668,0.46177,0.4573,0.45903,0.46894,0.49885,0.48092
0.51617,0.49817,0.4832,0.4567,0.49331,0.48627,0.47171,0.53411,0.54388,0.45424,0.47419,0.46217,0.46167,0.44862,0.46208,0.50511,0.53364,0.51606,0.44619,0.46334,0.45439,0.5181,0.45372,0.48741,0.47105,0.51202,0.4913,0.50338,0.5301,0.49694
0.51789,0.5011,0.47106,0.47186,0.44869,0.46392,0.49575,0.55015,0.525,0.4919,0.49619,0.50223,0.48608,0.46953,0.51907,0.4906,0.50773,0.5021,0.51006,0.5036,0.49555,0.50394,0.49759,0.47045,0.49763,0.50814,0.53855,0.48616,0.48923,0.49144
